resource_key,american_english
register_msg_001,Tender declined — authorize card or choose another tender type.
register_msg_002,Paid in recorded; new drawer float updated.
register_msg_003,Paid out requires manager override for amounts over 4.
register_msg_004,No sale: drawer opened — reason code required.
register_msg_005,Overpayment 6 will post as gift card voucher balance.
register_msg_006,Redemption capped: voucher balance insufficient for tender amount.
register_msg_007,Scan item or enter SKU; press Search to locate parent style.
register_msg_008,Pickup order 9 ready for customer — confirm ID before release.
register_msg_009,Scope filter active: excluded rows hidden for this workstation.
register_msg_010,Discount requires eligible tender; split tender not allowed.
register_msg_011,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_012,"Counts reflect events, not totals — reconcile in back office."
register_msg_013,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_014,Tender identifier missing — capture auth code before continuing.
register_msg_015,OMS sync delayed; operations may lag up to 16 minutes.
register_msg_016,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_017,Retail store hours override active — extended pickup window.
register_msg_018,WMS shortage: shipment line moved to backlog status.
register_msg_019,Tender declined — authorize card or choose another tender type.
register_msg_020,Paid in recorded; new drawer float updated.
register_msg_021,Paid out requires manager override for amounts over 22.
register_msg_022,No sale: drawer opened — reason code required.
register_msg_023,Overpayment 24 will post as gift card voucher balance.
register_msg_024,Redemption capped: voucher balance insufficient for tender amount.
register_msg_025,Scan item or enter SKU; press Search to locate parent style.
register_msg_026,Pickup order 27 ready for customer — confirm ID before release.
register_msg_027,Scope filter active: excluded rows hidden for this workstation.
register_msg_028,Discount requires eligible tender; split tender not allowed.
register_msg_029,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_030,"Counts reflect events, not totals — reconcile in back office."
register_msg_031,Void / reversal queued; receipt reprint suppressed until complete.
register_msg_032,Tender identifier missing — capture auth code before continuing.
register_msg_033,OMS sync delayed; operations may lag up to 34 minutes.
register_msg_034,Loyalty opt-in checkbox must be acknowledged before Checkout.
register_msg_035,Retail store hours override active — extended pickup window.
register_msg_036,WMS shortage: shipment line moved to backlog status.
register_msg_037,Tender declined — authorize card or choose another tender type.
register_msg_038,Paid in recorded; new drawer float updated.
register_msg_039,Paid out requires manager override for amounts over 40.
register_msg_040,No sale: drawer opened — reason code required.
register_msg_041,Overpayment 42 will post as gift card voucher balance.
register_msg_042,Redemption capped: voucher balance insufficient for tender amount.
register_msg_043,Scan item or enter SKU; press Search to locate parent style.
register_msg_044,Pickup order 45 ready for customer — confirm ID before release.
register_msg_045,Scope filter active: excluded rows hidden for this workstation.
register_msg_046,Discount requires eligible tender; split tender not allowed.
register_msg_047,Breakdown unavailable until tax jurisdictions finish loading.
register_msg_048,"Counts reflect events, not totals — reconcile in back office."
